access_id,access_type,source_osm_id,source_osm_element,name,district_name,nearest_entrance_distance_m,fallback_reason,x_m,y_m,snap_edge_index,snap_edge_fraction,off_network_connector_m,snap_cost_to_edge_u_m,snap_cost_to_edge_v_m,snapped_x_m,snapped_y_m,snapped_into_edge_interior
entrance:1636135224,entrance,1636135224,node,Mirzo Ulugʻbek,Chilanzar district,0.0,,517707.89740621444,4570071.34227833,36907,0.774372123,0.0,20.1158,5.8611,517707.897,4570071.342,True
entrance:1636135227,entrance,1636135227,node,Mirzo Ulugʻbek,Chilanzar district,0.0,,517744.80238392996,4569982.297736524,36894,0.0,0.0,0.0,3.6874,517744.802,4569982.298,False
entrance:1636135232,entrance,1636135232,node,Mirzo Ulugʻbek,Chilanzar district,0.0,,517791.9898465426,4570174.869847511,36902,0.0,0.0,0.0,8.6482,517791.99,4570174.87,False
entrance:1636135244,entrance,1636135244,node,Mirzo Ulugʻbek,Chilanzar district,0.0,,517818.7923948675,4570206.908000635,36914,0.768240708,0.0,20.8943,6.3033,517818.792,4570206.908,True
entrance:1636135247,entrance,1636135247,node,Mirzo Ulugʻbek,Chilanzar district,0.0,,517857.7847279615,4570117.258537825,36905,0.0,0.0,0.0,7.7893,517857.785,4570117.259,False
entrance:1765081835,entrance,1765081835,node,,Yashnabad district,0.0,,527091.1686494445,4571396.3761346545,38668,0.872691276,0.0,52.9046,7.7177,527091.169,4571396.376,True
entrance:1765081836,entrance,1765081836,node,Do'stlik,Yashnabad district,0.0,,526920.9714507645,4571424.064257743,76767,0.075966001,0.0,5.7318,69.7208,526920.971,4571424.064,True
entrance:1765132137,entrance,1765132137,node,Mashinasozlar,Yashnabad district,0.0,,525497.239807411,4572047.297213168,38670,0.93142507,0.0,63.5923,4.6819,525497.24,4572047.297,True
entrance:1765136913,entrance,1765136913,node,Toshkent,Mirabad district,0.0,,523901.10056691535,4571223.003428485,35327,0.832420305,0.0,55.5448,11.1821,523901.101,4571223.003,True
entrance:1765136920,entrance,1765136920,node,Toshkent,Mirabad district,0.0,,523954.0813248628,4571165.682355296,38672,0.666227982,0.0,21.0593,10.5505,523954.081,4571165.682,True
entrance:1765136924,entrance,1765136924,node,Toshkent,Mirabad district,0.0,,523979.4398001725,4571296.232575981,35323,0.902627684,0.0,56.5473,6.1001,523979.44,4571296.233,True
entrance:1770328506,entrance,1770328506,node,,Shaykhantakhur district,0.0,,518395.837822393,4575602.357920225,76639,0.042089162,0.0,4.4177,100.5432,518395.838,4575602.358,True
entrance:1770328516,entrance,1770328516,node,,Almazar district,0.0,,518425.2508396309,4575632.107282345,76639,0.95707269,0.0,100.4552,4.5057,518425.251,4575632.107,True
entrance:1770328542,entrance,1770328542,node,,Almazar district,0.0,,518313.41194255714,4575719.227757955,38862,1.0,0.0,57.2362,0.0,518313.412,4575719.228,False
entrance:1770328548,entrance,1770328548,node,,Shaykhantakhur district,0.0,,518224.4092135165,4575733.780100791,38863,0.920227607,0.0,65.0265,5.637,518224.409,4575733.78,True
entrance:1772565616,entrance,1772565616,node,Mustaqilik maydoni,Yunusabad district,0.0,,522756.52787253936,4573692.74705169,39115,0.401963944,0.0,12.2246,18.1876,522756.528,4573692.747,True
entrance:1772565618,entrance,1772565618,node,Mustaqilik maydoni,Yunusabad district,0.0,,522648.89116924035,4573801.673399646,39546,0.759267417,0.0,35.9348,11.3935,522648.891,4573801.673,True
entrance:1772565621,entrance,1772565621,node,Mustaqilik maydoni,Yunusabad district,0.0,,522587.0839654398,4573826.826085046,39120,0.0,0.0,0.0,43.1995,522587.084,4573826.826,False
entrance:1772575476,entrance,1772575476,node,Абдулла Кодирий,Yunusabad district,0.0,,523537.046728643,4574219.345187758,39124,0.742711511,0.0,18.1935,6.3026,523537.047,4574219.345,True
entrance:1772575483,entrance,1772575483,node,Абдулла Кадыри,Yunusabad district,0.0,,523605.8762214908,4574248.222062353,39127,0.0,0.0,0.0,10.9303,523605.876,4574248.222,False
entrance:1772575484,entrance,1772575484,node,Абдулла Кадыри,Yunusabad district,0.0,,523542.06612970866,4574253.632404165,39125,0.728846759,0.0,16.4874,6.1338,523542.066,4574253.632,True
entrance:1772575485,entrance,1772575485,node,Абдулла Кадыри,Yunusabad district,0.0,,523657.5562292354,4574433.7775609195,39130,0.703288113,0.0,16.689,7.041,523657.556,4574433.778,True
entrance:1772575491,entrance,1772575491,node,Абдулла Кадыри,Yunusabad district,0.0,,523549.0125961519,4574452.453105034,39132,0.519419256,0.0,18.4768,17.0953,523549.013,4574452.453,True
entrance:1772575497,entrance,1772575497,node,Абдулла Кадыри,Yunusabad district,0.0,,523580.23992760055,4574519.00923611,39131,0.727551364,0.0,71.7389,26.8643,523580.24,4574519.009,True
entrance:1772595539,entrance,1772595539,node,,Yunusabad district,0.0,,523713.9943000356,4575011.805662533,76730,0.703967172,14.4102,73.8492,31.0551,523699.742,4575013.934,True
entrance:1772595543,entrance,1772595543,node,,Yunusabad district,0.0,,523725.5208836626,4575146.640362855,39134,0.84328959,0.0,30.1748,5.6074,523725.521,4575146.64,True
entrance:1775768063,entrance,1775768063,node,Kosmonavtlar,Yakkasaray district,0.0,,522274.9014993595,4572652.260241937,39329,0.893507914,0.0,39.5458,4.7132,522274.901,4572652.26,True
entrance:1775768065,entrance,1775768065,node,Kosmonavtlar,Yakkasaray district,0.0,,522104.2732420191,4572667.126089997,39331,0.0,0.0,0.0,5.8963,522104.273,4572667.126,False
entrance:1775804031,entrance,1775804031,node,Bodomzor,Yunusabad district,0.0,,523811.84651091474,4576096.831155979,76703,0.064076214,0.0,7.305,106.7002,523811.847,4576096.831,True
entrance:1775804037,entrance,1775804037,node,Bodomzor,Yunusabad district,0.0,,523780.5543037107,4576165.215176988,76703,0.943553209,0.0,107.57,6.4352,523780.554,4576165.215,True
entrance:1775804041,entrance,1775804041,node,Bodomzor,Yunusabad district,0.0,,523833.83264342614,4576306.814972246,39333,0.927240944,0.0,23.959,1.88,523833.833,4576306.815,True
entrance:1775848272,entrance,1775848272,node,Hamid Olimjon,Mirzo Ulugbek district,0.0,,524680.4438697209,4574055.271670367,45322,1.0,11.9946,21.3977,0.0,524675.266,4574044.452,False
