district_id,district_name,year,metro_state_id,open_station_count,population_modelled_available,population_growth_pct_from_2015,metro_access_population_standardized,metro_access_pct_standardized,metro_access_pct_change_from_2015_pp,population_model_status,population_projection_flag,geography_version
1726262,Uchtepa district,2015,metro_state_29,29,183756.820057,0.0,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726262,Uchtepa district,2016,metro_state_29,29,186989.5577,1.759248,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726262,Uchtepa district,2017,metro_state_29,29,190210.045192,3.511829,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726262,Uchtepa district,2018,metro_state_29,29,193435.315488,5.267013,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726262,Uchtepa district,2019,metro_state_29,29,196893.3505,7.148867,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726262,Uchtepa district,2020,metro_state_43,43,200563.514534,9.146161,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726262,Uchtepa district,2021,metro_state_43,43,204388.820705,11.227883,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726262,Uchtepa district,2022,metro_state_43,43,208488.90194,13.459137,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726262,Uchtepa district,2023,metro_state_48,48,212771.630017,15.789787,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726262,Uchtepa district,2024,metro_state_50,50,217089.809878,18.139729,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726262,Uchtepa district,2025,metro_state_50,50,221326.699389,20.445434,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726262,Uchtepa district,2026,metro_state_50,50,225428.017351,22.677361,0.0,0.0,0.0,modelled_estimate,True,current_12_district_analysis_geometry
1726264,Bektemir district,2015,metro_state_29,29,199724.834773,0.0,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726264,Bektemir district,2016,metro_state_29,29,203250.115498,1.765069,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726264,Bektemir district,2017,metro_state_29,29,206760.250416,3.522554,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726264,Bektemir district,2018,metro_state_29,29,210275.065169,5.282383,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726264,Bektemir district,2019,metro_state_29,29,214042.144638,7.168518,0.0,0.0,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726264,Bektemir district,2020,metro_state_43,43,218038.111783,9.169254,9670.366378,4.435172502,4.435172502,modelled_estimate,False,current_12_district_analysis_geometry
1726264,Bektemir district,2021,metro_state_43,43,222201.175194,11.253653,9853.714531,4.434591546,4.434591546,modelled_estimate,False,current_12_district_analysis_geometry
1726264,Bektemir district,2022,metro_state_43,43,226664.046881,13.488163,10047.737675,4.43287668,4.43287668,modelled_estimate,False,current_12_district_analysis_geometry
1726264,Bektemir district,2023,metro_state_48,48,231324.891574,15.821796,10248.962689,4.430549008,4.430549008,modelled_estimate,False,current_12_district_analysis_geometry
1726264,Bektemir district,2024,metro_state_50,50,236022.709226,18.173941,10451.289447,4.428086383,4.428086383,modelled_estimate,False,current_12_district_analysis_geometry
1726264,Bektemir district,2025,metro_state_50,50,240632.154247,20.481839,10648.442735,4.425195281,4.425195281,modelled_estimate,False,current_12_district_analysis_geometry
1726264,Bektemir district,2026,metro_state_50,50,245092.483186,22.715076,10841.942604,4.42361286,4.42361286,modelled_estimate,True,current_12_district_analysis_geometry
1726266,Yunusabad district,2015,metro_state_29,29,192964.672578,0.0,24896.783479,12.902249488,0.0,modelled_estimate,False,current_12_district_analysis_geometry
1726266,Yunusabad district,2016,metro_state_29,29,196359.425122,1.759261,25324.175059,12.896847219,-0.005402268,modelled_estimate,False,current_12_district_analysis_geometry
1726266,Yunusabad district,2017,metro_state_29,29,199741.400156,3.511901,25755.715521,12.894530378,-0.007719109,modelled_estimate,False,current_12_district_analysis_geometry
1726266,Yunusabad district,2018,metro_state_29,29,203128.427299,5.267158,26198.330974,12.897422248,-0.00482724,modelled_estimate,False,current_12_district_analysis_geometry
1726266,Yunusabad district,2019,metro_state_29,29,206759.923159,7.149107,26664.799324,12.896502822,-0.005746666,modelled_estimate,False,current_12_district_analysis_geometry
1726266,Yunusabad district,2020,metro_state_43,43,210614.172645,9.146493,37371.988286,17.744289388,4.8420399,modelled_estimate,False,current_12_district_analysis_geometry
1726266,Yunusabad district,2021,metro_state_43,43,214631.266639,11.22827,38095.918213,17.749472763,4.847223275,modelled_estimate,False,current_12_district_analysis_geometry
